event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-11 09:28:43 UTC,view,1201567,2172371436436455782,electronics.tablet,apple,437.31,517336824,969d8244-d607-40dd-ab4c-1fd811c6eab3
2019-11-08 11:06:24 UTC,view,3601522,2053013563810775923,appliances.kitchen.washer,lg,295.24,514416252,267c6a83-4cf3-42d1-becc-01b3f05556ee
2019-11-15 20:13:09 UTC,view,1003317,2053013555631882655,electronics.smartphone,apple,946.49,545975143,a0c9d683-f066-4a23-9585-591c19d519dd
2019-11-16 09:21:43 UTC,view,100001627,2053013563651392361,,delta,134.11,547770952,cacef5f6-4df5-4d22-b47e-85935d604d50
2019-11-15 10:54:02 UTC,view,1201343,2172371436436455782,electronics.tablet,lenovo,190.99,512798893,3c9e346a-2843-4442-b4e2-4befc626e58b
2019-11-16 04:02:52 UTC,view,1004249,2053013555631882655,electronics.smartphone,apple,739.04,527491228,f5decebc-65d8-41d4-9118-de1a0dd4a76c
2019-11-25 18:44:55 UTC,view,1004785,2053013555631882655,electronics.smartphone,huawei,254.83,556035565,164ecf77-fcf6-4ee6-bde6-aab6fbd15f76
2019-11-18 06:05:26 UTC,view,1005203,2053013555631882655,electronics.smartphone,xiaomi,108.63,560888311,ea1f1f9c-c1f5-4066-9b36-5bf2ce947fe1
2019-11-16 11:28:09 UTC,view,1004871,2053013555631882655,electronics.smartphone,samsung,298.08,555177094,7ad318ba-4841-4bdf-88da-0a9f8e37e402
2019-11-27 15:35:33 UTC,view,3700703,2053013565983425517,appliances.environment.vacuum,vitek,38.35,561077822,5f8bcbbd-690c-42b4-92c4-cf2aaf22c59e
2019-11-16 10:51:21 UTC,view,12706857,2053013553559896355,,viatti,38.48,559151885,dc75c94f-2125-4a21-8ee1-ee5df5d6ed9f
2019-11-05 08:48:30 UTC,view,10300496,2053013553115300101,,silverlit,7.70,567744708,ea1bdf02-e5e5-4217-8257-f08fe47787ce
2019-11-12 08:54:59 UTC,view,7004625,2053013560346280633,kids.carriage,lorelli,38.61,524675110,e7c05888-e718-4e85-b645-04a9f154c527
2019-11-25 16:04:02 UTC,view,28720716,2053013565228450757,apparel.shoes,respect,79.02,544908059,bb7cd57f-79c9-4eff-b1ad-af63ba14545e
2019-11-17 17:54:50 UTC,view,1801631,2053013554415534427,electronics.video.tv,artel,333.29,521532719,119338d4-454a-4326-9828-3c92b811e046
2019-11-29 09:10:39 UTC,view,2601092,2053013563970159485,,gefest,208.47,578803219,4cb3f6a6-15bb-4f7c-8c84-021805ec9f3c
2019-11-18 16:59:39 UTC,view,1480707,2053013561092866779,computers.desktop,pulser,525.08,573122018,9d9e201b-e329-49c7-8f69-4f56c375e73b
2019-11-27 13:26:53 UTC,view,12718066,2053013553559896355,,,36.17,560213271,0b1986a0-7cb3-40f9-ab3a-1ebe8ea8b35d
2019-11-13 18:37:00 UTC,view,15700107,2053013559733912211,,,355.99,567715119,4af6b81d-8d75-4c73-a7da-36585fdbf457
2019-11-18 12:31:22 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,493.84,513725215,dc959dac-4efb-4891-8c4e-440f564b393e
2019-11-15 00:32:10 UTC,view,12714770,2053013553559896355,,tunga,41.86,518630474,fa2b6038-26c3-42e8-8f45-427ec463ed15
2019-11-23 18:25:33 UTC,view,1307401,2053013558920217191,computers.notebook,asus,295.76,541735828,3db01504-5d46-4b71-91b7-309bf0938f8d
2019-11-11 14:03:59 UTC,purchase,5100816,2053013553375346967,,xiaomi,30.85,549686027,def90d26-5441-4cd7-b4c1-ff977e9648f8
2019-11-15 03:03:03 UTC,view,12703015,2053013553559896355,,cordiant,42.99,519170976,db35a061-db67-c4c2-046c-96b7db0f21e8
2019-11-16 12:55:34 UTC,view,1004768,2053013555631882655,electronics.smartphone,samsung,263.84,514686719,e800502e-692d-439b-a1d2-32b7357ba02f
2019-11-06 18:52:13 UTC,purchase,1005115,2053013555631882655,electronics.smartphone,apple,915.69,560399766,0ab1b383-4a61-4d39-8b45-5f3c22c5936f
2019-11-14 13:51:15 UTC,view,100006096,2053013559473865347,,,36.01,512743845,ffbe4d79-5d45-40b5-b242-759c5420c4e7
2019-11-09 15:56:56 UTC,view,28101839,2053013564918072245,,karat,49.77,546727015,b8cf1039-a929-4462-a8e5-cbd5f7df592a
2019-11-27 07:52:25 UTC,view,2601626,2053013563970159485,,,257.15,515048459,4a8f4a92-18f4-418d-87ad-3f7fb9200ff6
2019-11-15 13:16:04 UTC,view,1307429,2053013558920217191,computers.notebook,asus,483.67,547861365,4b67e707-02cb-4515-a2d5-d2f175b6ef2f
2019-11-26 10:32:50 UTC,view,1005031,2053013555631882655,electronics.smartphone,xiaomi,173.49,576441949,7eec20e1-1bf2-4fbc-861d-34ab30f59d3d
